CountryName,Region,Year,GDPGrowthRate,PropertyRights,JudicialEffectiveness,GovernmentIntegrity,TaxBurden,GovSpending,FiscalHealth,BusinessFreedom,LaborFreedom,MonetaryFreedom,TradeFreedom,InvestmentFreedom,FinancialFreedom,TariffRate,IncomeTaxRate,CorporateTaxRate,TaxBurdenRateOfGDP,GovExpenditureRateOfGDP,PopulationMillions,UnemploymentRate,InflationRate,FDIInflowMillions,PublicDebtRateOfGDP
Afghanistan,Asia-Pacific,2017,1.5,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Asia-Pacific,2018,1.5,0.4206349206349205,-0.007042253521126751,-0.047272727272727244,0.0024296361005704536,-0.007226762830590094,0.009878899960979126,-0.022140221402214055,-0.04301311143254605,0.12265512265512268,0.0006064281382656134,inf,inf,0.0028571428571428914,0.0,0.0,-0.23076923076923073,-0.029784303598218154,0.043749999999999956,-0.11041666666666672,-3.9226666666666667,0.7167063155172413,0.21632352941176491
Afghanistan,Asia-Pacific,2019,2.505,0.09497206703910632,0.04964539007092217,-0.03816793893129766,-0.0010893246187363426,0.01261034047919285,0.010172939979654183,-0.07169811320754715,0.054101221640488584,-0.014138817480719768,0.0,0.0,0.0,-0.002849002849002802,0.0,0.0,0.008000000000000007,-0.026566619346989673,0.06287425149700598,0.030444964871194635,0.1405109489051093,-0.45866667092234337,-0.11739813807278454
Afghanistan,Asia-Pacific,2020,2.3,1.464285714285714,0.013513513513513375,-0.015873015873015817,-0.0032715376226826187,-0.013698630136986245,0.006042296072507725,0.11178861788617889,0.019867549668874274,0.05606258148631027,0.0,0.0,0.0,0.0,0.0,0.0,0.5079365079365079,0.028502604166667833,0.014647887323943731,-0.8295454545454546,-0.8748,1.5825602968460108,-0.030273972602739785
Afghanistan,Asia-Pacific,2021,3.037,-0.3726708074534161,-0.1433333333333333,0.1733870967741935,-0.00328227571115991,-0.039141414141414255,0.0,-0.014625228519195677,-0.02759740259740262,-0.0024691358024692134,0.039393939393939315,0.0,0.0,-0.18571428571428572,0.0,0.0,0.21716684849469226,0.07188342680626159,0.05612865074958351,6.3999999999999995,2.6773162939297124,-0.723180076867816,0.0312190987427603
Albania,Europe,2017,2.6,,,,,,,,,,,,,,,,,,,,,,
Albania,Europe,2018,2.6,0.001606084315327383,-0.10793659545141188,0.004851307111551684,-0.020605268245974306,0.002762719338194941,0.3096384661022986,-0.12862547288776804,-0.005151038596057145,0.011910748967499662,0.0009119927040583953,0.0,0.0,0.009090909090909038,0.0,0.0,0.15254237288135575,0.0037064163171083297,0.03035714285714275,-0.05589595375722556,-0.32894736842105265,0.12064991701923655,-0.005062586926286583
Albania,Europe,2019,3.9,0.012939001848428777,0.20472440944881898,0.012531328320801949,0.014101057579318566,0.016506189821182904,0.19407407407407407,0.0028943560057888007,0.045634920634920695,-0.01092233009708743,0.0,0.0,0.0,-0.009009009009009028,0.0,0.0,-0.0845588235294118,-0.021537236865380116,0.005199306759098743,-0.14896222371885126,0.5686274509803924,-0.004667648679229419,-0.004696935808543912
Albania,Europe,2020,4.162,0.04197080291970812,0.07843137254901955,-0.03960396039603964,-0.004634994206257126,0.00947225981055455,0.07071960297766755,-0.051948051948051854,-0.011385199240986799,-0.0036809815950920033,0.006833712984054774,0.0,0.0,-0.2727272727272727,0.0,0.0,0.032128514056224855,-0.014146892655366061,-0.008965517241379284,0.0,0.014499999999999957,0.15594470956785833,-0.03665730337078654
Albania,Europe,2021,2.214,-0.19264448336252193,-0.3090909090909091,0.046391752577319645,0.03608847497089629,0.0,0.0034762456546928444,0.006088280060882578,-0.009596928982725572,0.009852216748768461,-0.06334841628959287,0.0,0.0,3.5,0.0,0.0,-0.27791924531805057,0.0011805428204647583,-0.00689248434237999,-0.1151079136690647,-0.30458353868900934,-0.009558840532078894,0.0030616707974921997
Albania,Europe,2022,-3.5,0.20390455531453355,1.1842105263157894,-0.12300301774151245,0.0011235955056179137,-0.03351206434316356,-0.18475750577367211,0.06959152798789736,-0.01034647679123446,0.0,-0.0024154589371980784,0.0,0.0,0.0277777777777779,0.0,0.0,-0.01387448399317015,0.048001740106010216,-0.005762753789077202,-0.0487804878048782,0.1360737065910702,-0.13600150980719494,0.10406976744186047
Algeria,Middle East / North Africa,2017,3.7,,,,,,,,,,,,,,,,,,,,,,
Algeria,Middle East / North Africa,2018,3.7,-0.2722513089005236,0.1879417218543038,-0.08517350157728709,-0.08744609457758001,-0.09920828055759345,-0.032635880177594556,0.09661835748792269,-0.01564814305893214,0.04260376583220826,0.003159557661927437,-0.2857142857142857,0.0,-0.015476190476190532,0.0,0.0,1.4871794871794877,-0.0443704437044371,0.031949367088607517,0.0687619047619048,0.33291666666666675,-3.6323854929337647,1.339770114942529
Algeria,Middle East and North Africa,2019,2.0,0.13669064748201443,0.02840909090909083,-0.0034482758620689724,0.032432432432432545,0.061002178649237626,-0.02604166666666663,-0.09544787077826711,0.024640657084188833,0.07153075822603716,0.06141732283464574,0.19999999999999996,0.0,0.06408706166868217,0.0,0.0,-0.15807560137457044,-0.02524015822188741,0.01810509788528525,-0.10889324541080014,-0.12472647702407003,-0.22186287192755494,0.2674395755551189
Algeria,Middle East and North Africa,2020,2.059,0.1993670886075949,-0.03314917127071826,-0.02076124567474036,-0.01308900523560208,0.08008213552361387,-0.07486631016042777,0.022727272727272707,0.012024048096192397,0.01735647530040052,-0.017804154302670683,0.0,0.0,0.06818181818181812,0.0,0.0,0.08571428571428585,-0.03957326892109425,0.026072289156626516,0.21999999999999997,-0.23750000000000004,0.25213373713581877,0.42914728682170544
